[altri1] /home/alice/aj/v/vme/ctp_proxy > ps
  PID TTY          TIME CMD
13984 pts/2    00:00:00 bash
14233 pts/2    00:00:00 xterm
14610 pts/2    00:00:00 xterm
13148 pts/2    00:00:00 ps
[altri1] /home/alice/aj/v/vme/ctp_proxy > ./swtrcheck.py 
popen2(linux/test)
runs: 720 okSOD: 720 okEOD: 720 ph: 11824 ph received: 11824
runs: 730 okSOD: 730 okEOD: 730 ph: 11989 ph received: 11989
runs: 740 okSOD: 740 okEOD: 740 ph: 12153 ph received: 12153
runs: 750 okSOD: 750 okEOD: 750 ph: 12316 ph received: 12316
runs: 760 okSOD: 760 okEOD: 760 ph: 12482 ph received: 12482
runs: 770 okSOD: 770 okEOD: 770 ph: 12646 ph received: 12646
runs: 780 okSOD: 780 okEOD: 780 ph: 12811 ph received: 12811
runs: 790 okSOD: 790 okEOD: 790 ph: 12975 ph received: 12975
runs: 800 okSOD: 800 okEOD: 800 ph: 13139 ph received: 13139
runs: 810 okSOD: 810 okEOD: 810 ph: 13303 ph received: 13303
runs: 820 okSOD: 820 okEOD: 820 ph: 13465 ph received: 13465
runs: 830 okSOD: 830 okEOD: 830 ph: 13631 ph received: 13631
runs: 840 okSOD: 840 okEOD: 840 ph: 13795 ph received: 13795
runs: 850 okSOD: 850 okEOD: 850 ph: 13959 ph received: 13959
runs: 860 okSOD: 860 okEOD: 860 ph: 14121 ph received: 14121
runs: 870 okSOD: 870 okEOD: 870 ph: 14282 ph received: 14282
runs: 880 okSOD: 880 okEOD: 880 ph: 14445 ph received: 14445
runs: 890 okSOD: 890 okEOD: 890 ph: 14608 ph received: 14608
runs: 900 okSOD: 900 okEOD: 900 ph: 14774 ph received: 14774
runs: 910 okSOD: 910 okEOD: 910 ph: 14939 ph received: 14939
runs: 920 okSOD: 920 okEOD: 920 ph: 15103 ph received: 15103
runs: 930 okSOD: 930 okEOD: 930 ph: 15267 ph received: 15267
runs: 940 okSOD: 940 okEOD: 940 ph: 15433 ph received: 15433
runs: 950 okSOD: 950 okEOD: 950 ph: 15598 ph received: 15598
runs: 960 okSOD: 960 okEOD: 960 ph: 15763 ph received: 15763
runs: 970 okSOD: 970 okEOD: 970 ph: 15926 ph received: 15926
runs: 980 okSOD: 980 okEOD: 980 ph: 16091 ph received: 16091
runs: 990 okSOD: 990 okEOD: 990 ph: 16256 ph received: 16256
runs: 1000 okSOD: 1000 okEOD: 1000 ph: 16419 ph received: 16419
exiting  pcald36
closing self.sockobj
[altri1] /home/alice/aj/v/vme/ctp_proxy > 

[altri1] /home/alice/aj/v/vme/ctp_proxy > ./swtrcheck.py 
popen2(linux/test)
runs: 10 okSOD: 10 okEOD: 10 ph: 5029 ph received: 5029
runs: 20 okSOD: 20 okEOD: 20 ph: 10058 ph received: 10058
runs: 30 okSOD: 30 okEOD: 30 ph: 15087 ph received: 15087
runs: 40 okSOD: 40 okEOD: 40 ph: 20115 ph received: 20115
runs: 50 okSOD: 50 okEOD: 50 ph: 25143 ph received: 25143
runs: 60 okSOD: 60 okEOD: 60 ph: 30173 ph received: 30173
runs: 70 okSOD: 70 okEOD: 70 ph: 35203 ph received: 35203
runs: 80 okSOD: 80 okEOD: 80 ph: 40233 ph received: 40233
runs: 90 okSOD: 90 okEOD: 90 ph: 45263 ph received: 45263
runs: 100 okSOD: 100 okEOD: 100 ph: 50293 ph received: 50293
runs: 110 okSOD: 110 okEOD: 110 ph: 55323 ph received: 55323
runs: 120 okSOD: 120 okEOD: 120 ph: 60349 ph received: 60349
runs: 130 okSOD: 130 okEOD: 130 ph: 65378 ph received: 65378
runs: 140 okSOD: 140 okEOD: 140 ph: 70408 ph received: 70408
runs: 150 okSOD: 150 okEOD: 150 ph: 75437 ph received: 75437
runs: 160 okSOD: 160 okEOD: 160 ph: 80467 ph received: 80467
runs: 170 okSOD: 170 okEOD: 170 ph: 85497 ph received: 85497
runs: 180 okSOD: 180 okEOD: 180 ph: 90527 ph received: 90527
runs: 190 okSOD: 190 okEOD: 190 ph: 95557 ph received: 95557
runs: 200 okSOD: 200 okEOD: 200 ph: 100587 ph received: 100587
exiting  pcald36

